Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
P25205;P25205-2,0.981030699985155,0.00872566528457478,259,Used,Positive,DNA replication licensing factor MCM3,MCM3,431512796300,>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3
Q14566,0.980606482546917,0.009802031572837,265,Used,Positive,DNA replication licensing factor MCM6,MCM6,389847401600,>sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1
P49736,0.97100403950821,0.011652205055283,260,Used,Positive,DNA replication licensing factor MCM2,MCM2,375477438440,>sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4
P33992,0.955205680034653,0.0159140427516259,257,Used,Positive,DNA replication licensing factor MCM5,MCM5,402785337100,>sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5
P33991,0.950599573811094,0.0163899855898218,270,Used,Positive,DNA replication licensing factor MCM4,MCM4,415957463660,>sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5
P40937;P40937-2,0.93497645919369,0.0175793564960283,224,Used,Positive,Replication factor C subunit 5,RFC5,53386811760,>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;>sp|P40937-2|RFC5_HUMAN Isoform 2 of Replication factor C subunit 5 OS=Homo sapiens GN=RFC5
P33993;P33993-3,0.908732664684573,0.0317733275926885,260,Used,Positive,DNA replication licensing factor MCM7,MCM7,440089396000,>sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4;>sp|P33993-3|MCM7_HUMAN Isoform 3 of DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7
P35249;P35249-2,0.902644789642964,0.0214385830353326,218,Used,Positive,Replication factor C subunit 4,RFC4,73762730375,>sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens GN=RFC4 PE=1 SV=2;>sp|P35249-2|RFC4_HUMAN Isoform 2 of Replication factor C subunit 4 OS=Homo sapiens GN=RFC4
P49643,0.90151238801313,0.0229781313350908,191,Used,Positive,DNA primase large subunit,PRIM2,27703508710,>sp|P49643|PRI2_HUMAN DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2
Q9BRX5;Q9BRX5-3;Q9BRX5-2,0.892037990977602,0.0316731164994296,173,Used,Positive,DNA replication complex GINS protein PSF3,GINS3,10732076930,>sp|Q9BRX5|PSF3_HUMAN DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3 PE=1 SV=1;>sp|Q9BRX5-3|PSF3_HUMAN Isoform 3 of DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3;>sp|Q9BRX5-2|PSF3_HUMAN Isoform 2 of DNA replication
Q9BRT9,0.891874952866501,0.0246918770048686,162,Used,Positive,"DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed",GINS4,7184486520,>sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1
P09884,0.88889590338215,0.030125758986717,160,Used,Positive,DNA polymerase alpha catalytic subunit,POLA1,30471946020,>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2
O75717;O75717-2,0.88525465641269,0.0292577580870579,214,Used,Positive,WD repeat and HMG-box DNA-binding protein 1,WDHD1,69997458455,>sp|O75717|WDHD1_HUMAN WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1;>sp|O75717-2|WDHD1_HUMAN Isoform 2 of WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1
P40938;P40938-2,0.868931693352786,0.0283742236278804,237,Used,Positive,Replication factor C subunit 3,RFC3,54491684020,>sp|P40938|RFC3_HUMAN Replication factor C subunit 3 OS=Homo sapiens GN=RFC3 PE=1 SV=2;>sp|P40938-2|RFC3_HUMAN Isoform 2 of Replication factor C subunit 3 OS=Homo sapiens GN=RFC3
P35250;P35250-2,0.862708315976968,0.0332775958950271,217,Used,Positive,Replication factor C subunit 2,RFC2,43363996330,>sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3;>sp|P35250-2|RFC2_HUMAN Isoform 2 of Replication factor C subunit 2 OS=Homo sapiens GN=RFC2
P18858;P18858-2,0.8613806808248,0.029846095855118,195,Used,Positive,DNA ligase 1,LIG1,63875864410,>sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1;>sp|P18858-2|DNLI1_HUMAN Isoform 2 of DNA ligase 1 OS=Homo sapiens GN=LIG1
P33316-2,0.857571061373904,0.042633841055438,238,"","","Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,137804608619,">sp|P33316-2|DUT_HUMAN Isoform 2 of Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT"
