Protein_IDs,Progulon_ID,Mean_RF_score,Score_StDev,Training_label,Used_for_positive_training,Feature_count,Protein_names,Gene_names,Summed_intensities,prot_in_prn,Manual_annotation,Highlight_genes
P24539,P09,0.968529654608117,0.016852406123407,Positive,Used,243,"ATP synthase F(0) complex subunit B1, mitochondrial",ATP5F1,274634421780,yes,ATP synthase,
P06576,P09,0.941783449912319,0.023901232995335,Positive,Used,291,"ATP synthase subunit beta, mitochondrial",ATP5B,2931064132100,yes,ATP synthase,
P48047,P09,0.916580149765232,0.034806637994884,Positive,Used,254,"ATP synthase subunit O, mitochondrial",ATP5O,406942730640,yes,ATP synthase,
P25705;P25705-3,P09,0.911519353572752,0.037541589224783,Positive,Used,285,"ATP synthase subunit alpha, mitochondrial",ATP5A1,2081020561000,yes,ATP synthase,
O75947;O75947-2,P09,0.902178328517689,0.050178116273763,Positive,Used,220,"ATP synthase subunit d, mitochondrial",ATP5H,202170801140,yes,ATP synthase,
O75964,P09,0.896777343633961,0.038614443876649,Positive,Used,206,"ATP synthase subunit g, mitochondrial",ATP5L,116680610570,yes,ATP synthase,
P56385,P09,0.843752003468902,0.056650067710577,Positive,Used,183,"ATP synthase subunit e, mitochondrial",ATP5I,53159990700,yes,ATP synthase,
P56134;P56134-3,P09,0.840781608254891,0.043230939807643,Positive,Used,230,"ATP synthase subunit f, mitochondrial",ATP5J2,77699820190,yes,ATP synthase,
P36542,P09,0.782818116856836,0.071858191442794,,,258,"ATP synthase subunit gamma, mitochondrial",ATP5C1,237850349420,yes,ATP synthase,
Q96IX5,P09,0.766472971589255,0.068967599126369,Positive,Used,196,Up-regulated during skeletal muscle growth protein 5,USMG5,44836887910,yes,ATP synthase,
P56134-2;P56134-4,P09,0.734376165886756,0.085930923093302,,,105,"ATP synthase subunit f, mitochondrial",ATP5J2,2452886040,yes,ATP synthase,
P30049,P09,0.723488325872482,0.06510404986487,Positive,Used,209,"ATP synthase subunit delta, mitochondrial",ATP5D,76739051480,yes,ATP synthase,
P03928,P09,0.703826734524185,0.093742657846625,,,144,ATP synthase protein 8,MT-ATP8,11101625330,yes,ATP synthase,
P36957,P09,0.700400418029464,0.11105545904763,,,235,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,131954249510,yes,aKG depletion,DLST
P56378;P56378-2,P09,0.68006585033972,0.064248757679145,,,144,6.8 kDa mitochondrial proteolipid,MP68,25979867380,yes,ATP synthase,
P09669,P09,0.670524009654495,0.089760686099175,,,168,Cytochrome c oxidase subunit 6C,COX6C,57292159630,yes,Complex IV,
P13073,P09,0.666402233498215,0.086093694001609,,,211,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,200900600612,yes,Complex IV,
O96011;O96011-2,P09,0.658536988869047,0.106206354001065,,,177,Peroxisomal membrane protein 11B,PEX11B,20591475687,yes,,PEX11B
Q99623;Q99623-2,P09,0.657713934786994,0.101171621480849,,,270,Prohibitin-2,PHB2,679288211590,yes,,
P53597,P09,0.653883679947294,0.06517040028031,,,241,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,94390756269,yes,,
P20674,P09,0.65045591053179,0.096667059851898,,,222,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,102901630290,yes,Complex IV,
Q9Y6C9,P09,0.647826371436555,0.107588367699743,,,255,Mitochondrial carrier homolog 2,MTCH2,135374513420,yes,,
P14927,P09,0.643826775548145,0.08917796250591,,,201,Cytochrome b-c1 complex subunit 7,UQCRB,47847272088,yes,Complex III,
P49755,P09,0.642172751990948,0.087211817172099,,,250,Transmembrane emp24 domain-containing protein 10,TMED10,252946976957,yes,,
Q00325,P09,0.639654914464813,0.085120739707889,,,260,"Phosphate carrier protein, mitochondrial",SLC25A3,543968756130,yes,,PiC
O95139;O95139-2,P09,0.637919067763328,0.094315864020031,,,154,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,NDUFB6,10115211090,yes,Complex I,
P47985,P09,0.636673159800732,0.086980462587862,,,210,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11",UQCRFS1,68758784808,yes,Complex III,
O14949,P09,0.635858963590879,0.088949712269218,,,205,Cytochrome b-c1 complex subunit 8,UQCRQ,46573816920,yes,Complex III,
P10606,P09,0.635001123661092,0.078448130013685,,,212,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,40734671700,yes,Complex IV,
Q99798,P09,0.632994222259172,0.116823755683771,,,271,"Aconitate hydratase, mitochondrial",ACO2,350688594720,yes,,ACO2
Q15363,P09,0.632397615426409,0.098394519707596,,,213,Transmembrane emp24 domain-containing protein 2,TMED2,86160596230,yes,,
O95298;E9PQ53;O95298-2;O95298-3,P09,0.630970800348274,0.117383293400096,,,136,"NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",NDUFC2;NDUFC2-KCTD14,19441288280,yes,Complex I,
P09622;P09622-2;P09622-3,P09,0.630937194812282,0.096110916699292,,,277,"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,262736529024,yes,aKG depletion,
P55084;P55084-2,P09,0.629644835815113,0.113869313276782,,,263,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase",HADHB,390666625600,yes,FAO,
P30048-2;P30048,P09,0.628848831678555,0.100763071463282,,,263,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,483052907185,yes,,PRDX3
P00403,P09,0.62608854105253,0.082298720771421,,,227,Cytochrome c oxidase subunit 2,MT-CO2,169338355060,yes,Complex IV,
P23786,P09,0.62096896595537,0.104888193000196,,,220,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,38071125530,yes,FAO,
P10176,P09,0.61953473336538,0.089741547079253,,,75,"Cytochrome c oxidase subunit 8A, mitochondrial",COX8A,110255038,yes,Complex IV,
Q9UJZ1;Q9UJZ1-2,P09,0.618580532395762,0.082507383768221,,,251,"Stomatin-like protein 2, mitochondrial",STOML2,189656448967,yes,,
P15954,P09,0.617421328060333,0.065372185236979,,,113,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C,6333176816,yes,Complex IV,
O75489,P09,0.615620118928041,0.107444973176664,,,231,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,110470714750,yes,Complex I,
O43772,P09,0.615219599735045,0.099060948607593,,,141,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,9952165220,yes,FAO,
P00367;P00367-2,P09,0.613441917838513,0.124316152265227,,,275,"Glutamate dehydrogenase 1, mitochondrial",GLUD1,452990731960,yes,aKG depletion,
Q8NCN5,P09,0.613255019664948,0.098824290816175,,,156,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR,13033852760,yes,,
O75438;O75438-2,P09,0.611446677345583,0.092773854406798,,,159,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,NDUFB1,12850988860,yes,Complex I,
O00217,P09,0.610632856093739,0.126910693306689,,,213,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,35703507060,yes,Complex I,
Q13232,P09,0.608654388340086,0.102072054064296,,,157,Nucleoside diphosphate kinase 3,NME3,14959136910,yes,,
Q9P0J0;Q9P0J0-2,P09,0.607874326163026,0.120100992716008,,,200,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,69868491240,yes,Complex I,
O96000;O96000-2,P09,0.607699981972619,0.108388333219903,,,219,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,62206892750,yes,Complex I,
Q9HDC9;Q9HDC9-2,P09,0.605033606140972,0.096205649445967,,,265,Adipocyte plasma membrane-associated protein,APMAP,192069589340,yes,,
O75251;O75251-2,P09,0.601721652451437,0.120290981633812,,,178,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,15766941950,yes,Complex I,
P35232,P09,0.601035911271474,0.103556001169748,,,253,Prohibitin,PHB,526492151540,yes,,
P22695,P09,0.600254314732872,0.099757604864093,,,257,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,307054823730,yes,Complex III,
Q53H12,P09,0.599173492160822,0.110768164744076,,,206,"Acylglycerol kinase, mitochondrial",AGK,38863088500,yes,,
Q96I99;Q96I99-2,P09,0.597082333680247,0.081562576168165,,,254,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,102211814710,yes,,
O95169-3;O95169;O95169-2,P09,0.596516105539255,0.11905891333986,,,159,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",NDUFB8,11597239950,yes,Complex I,
Q8N2U0,P09,0.596301960292219,0.083823997609274,,,137,Transmembrane protein 256,TMEM256,3697925400,yes,Uncharacterised,
O15382;O15382-2,P09,0.593212295229522,0.101412162837987,,,211,"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,66580801080,yes,aKG depletion,
Q16134,P09,0.591674689828799,0.112499932815502,,,141,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",ETFDH,11449189129,yes,,
O14521-2;O14521;O14521-4,P09,0.5905823021238,0.141034128786099,,,113,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",SDHD,8643942630,yes,Complex II,
P31937,P09,0.589813565084729,0.105354525013165,,,226,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,52297275473,yes,,
Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2,P09,0.588106423987181,0.112503269822701,,,147,Mitochondrial Rho GTPase 1,RHOT1,5617368440,yes,,RHOT1
P40939,P09,0.587889781990941,0.101769187861445,,,275,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",HADHA,649217701350,yes,FAO,
O75431;O75431-2,P09,0.586983079486596,0.108423992403549,,,198,Metaxin-2,MTX2,29810847610,yes,,
Q16718;Q16718-2,P09,0.58692236318287,0.102905691311011,,,210,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,NDUFA5,60585519351,yes,Complex I,
P17568,P09,0.58681071835086,0.125050155156849,,,139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,NDUFB7,17343435720,yes,Complex I,
Q9NWU1;Q9NWU1-2,P09,0.585177140426353,0.072714267041039,,,103,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",OXSM,118234681210,yes,,
Q99766,P09,0.58467888018092,0.107698810713641,,,117,"ATP synthase subunit s, mitochondrial",ATP5S,1853647590,yes,ATP synthase,
P45880;P45880-2,P09,0.584487532622227,0.132617856738817,,,273,Voltage-dependent anion-selective channel protein 2,VDAC2,565686227140,yes,,
P00846,P09,0.582832447707064,0.123979896038491,,,174,ATP synthase subunit a,MT-ATP6,32252466000,yes,ATP synthase,
P03897,P09,0.582493771192736,0.105637287943777,,,77,NADH-ubiquinone oxidoreductase chain 3,MT-ND3,491737190,yes,Complex I,
P21796,P09,0.580218027160353,0.128082002015031,,,248,Voltage-dependent anion-selective channel protein 1,VDAC1,883194368160,yes,,
P31930,P09,0.579322271255451,0.103931980102499,,,253,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,226904808850,yes,Complex III,
Q9NX14;Q9NX14-2,P09,0.578156645378077,0.061504581874342,,,144,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",NDUFB11,7369207040,yes,Complex I,
Q9NYU2-2;Q9NYU2,P09,0.577910734360906,0.099004087589486,,,265,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,339046521546,yes,,
O43920,P09,0.577537933113879,0.102537525864941,,,160,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,31220304650,yes,Complex I,
Q02978;Q02978-2,P09,0.576776034153047,0.131449642180164,,,232,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11,123476519387,yes,aKG depletion,
O75915,P09,0.576697954203425,0.09762791129537,,,223,PRA1 family protein 3,ARL6IP5,66451835370,yes,,
P10515,P09,0.575938177678358,0.103167396856953,,,246,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,95341483772,yes,,
P24311,P09,0.574029151044783,0.050461636341682,,,48,"Cytochrome c oxidase subunit 7B, mitochondrial",COX7B,105305181,yes,Complex IV,
Q02218;Q02218-2,P09,0.572556085395898,0.097901886596062,,,259,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,149174952760,yes,aKG depletion,
Q9H4I9,P09,0.570724518526053,0.057768582084112,,,84,"Essential MCU regulator, mitochondrial",SMDT1,2627971012,yes,,
P20073-2;P20073,P09,0.570537372235425,0.100070019525537,,,275,Annexin A7,ANXA7,148370903480,yes,,
Q16795,P09,0.569045534968314,0.121618657183047,,,224,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",NDUFA9,91460239892,yes,Complex I,
