Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
Q14566,0.970848357268401,0.0263728439885852,15,Used,Positive,DNA replication licensing factor MCM6,MCM6,389847401600,>sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1
P25205;P25205-2,0.965261144463915,0.0243308753359409,15,Used,Positive,DNA replication licensing factor MCM3,MCM3,431512796300,>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3
P33992,0.942032992911012,0.0431154308157425,15,Used,Positive,DNA replication licensing factor MCM5,MCM5,402785337100,>sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5
P40937;P40937-2,0.936794566670721,0.0338289308549653,12,Used,Positive,Replication factor C subunit 5,RFC5,53386811760,>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;>sp|P40937-2|RFC5_HUMAN Isoform 2 of Replication factor C subunit 5 OS=Homo sapiens GN=RFC5
Q96CT7,0.929692582598396,0.0392948275032707,11,"","",Coiled-coil domain-containing protein 124,CCDC124,78356771519,>sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1
O95983;O95983-2,0.928758701971039,0.0495172364556166,12,"","",Methyl-CpG-binding domain protein 3,MBD3,8361596458,>sp|O95983|MBD3_HUMAN Methyl-CpG-binding domain protein 3 OS=Homo sapiens GN=MBD3 PE=1 SV=1;>sp|O95983-2|MBD3_HUMAN Isoform 2 of Methyl-CpG-binding domain protein 3 OS=Homo sapiens GN=MBD3
Q86YP4;Q86YP4-3,0.923607837595439,0.0476060692109777,14,"","",Transcriptional repressor p66-alpha,GATAD2A,27634143070,>sp|Q86YP4|P66A_HUMAN Transcriptional repressor p66-alpha OS=Homo sapiens GN=GATAD2A PE=1 SV=1;>sp|Q86YP4-3|P66A_HUMAN Isoform 3 of Transcriptional repressor p66-alpha OS=Homo sapiens GN=GATAD2A
Q8WXX5,0.922803064889175,0.0423604850290151,13,"","",DnaJ homolog subfamily C member 9,DNAJC9,93328878840,>sp|Q8WXX5|DNJC9_HUMAN DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1
O94776,0.919459558924924,0.0418514488759735,15,"","",Metastasis-associated protein MTA2,MTA2,129421029220,>sp|O94776|MTA2_HUMAN Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1
Q92785;Q92785-2,0.912028393785433,0.0436749178506906,9,"","",Zinc finger protein ubi-d4,DPF2,8770623188,>sp|Q92785|REQU_HUMAN Zinc finger protein ubi-d4 OS=Homo sapiens GN=DPF2 PE=1 SV=2;>sp|Q92785-2|REQU_HUMAN Isoform 2 of Zinc finger protein ubi-d4 OS=Homo sapiens GN=DPF2
Q8WXI9,0.910879648575001,0.0480863111428056,10,"","",Transcriptional repressor p66-beta,GATAD2B,21380785350,>sp|Q8WXI9|P66B_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens GN=GATAD2B PE=1 SV=1
Q14157;Q14157-5;Q14157-3,0.908500466975963,0.0478821998617675,14,"","",Ubiquitin-associated protein 2-like,UBAP2L,146377922010,>sp|Q14157|UBP2L_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L PE=1 SV=2;>sp|Q14157-5|UBP2L_HUMAN Isoform 5 of Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L;>sp|Q14157-3|UBP2L_HUMAN Isoform 3 of Ubiquitin-associated pr
Q96G46;Q96G46-2;Q96G46-3,0.907087939992096,0.058689612616778,10,"","",tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,DUS3L,11067979692,>sp|Q96G46|DUS3L_HUMAN tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like OS=Homo sapiens GN=DUS3L PE=1 SV=2;>sp|Q96G46-2|DUS3L_HUMAN Isoform 2 of tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like OS=Homo sapiens GN=DUS3L;>sp|Q96G46-3|DUS3L_HUMAN Isoform 3
P40938;P40938-2,0.904050524913948,0.0521245663626729,15,Used,Positive,Replication factor C subunit 3,RFC3,54491684020,>sp|P40938|RFC3_HUMAN Replication factor C subunit 3 OS=Homo sapiens GN=RFC3 PE=1 SV=2;>sp|P40938-2|RFC3_HUMAN Isoform 2 of Replication factor C subunit 3 OS=Homo sapiens GN=RFC3
O95239;O95239-2,0.904012347849616,0.0391072806824042,9,"","",Chromosome-associated kinesin KIF4A,KIF4A,58077811143,>sp|O95239|KIF4A_HUMAN Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3;>sp|O95239-2|KIF4A_HUMAN Isoform 2 of Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A
O95347;O95347-2,0.89834042996442,0.0519070914787505,15,"","",Structural maintenance of chromosomes protein 2,SMC2,140818511760,>sp|O95347|SMC2_HUMAN Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2;>sp|O95347-2|SMC2_HUMAN Isoform 2 of Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2
P78347-2;P78347-4;P78347-3;P78347,0.89807313838586,0.0495878680218385,15,"","",General transcription factor II-I,GTF2I,341268046850,>sp|P78347-2|GTF2I_HUMAN Isoform 2 of General transcription factor II-I OS=Homo sapiens GN=GTF2I;>sp|P78347-4|GTF2I_HUMAN Isoform 4 of General transcription factor II-I OS=Homo sapiens GN=GTF2I;>sp|P78347-3|GTF2I_HUMAN Isoform 3 of General transcription fa
O75427,0.896481041277712,0.0449662907594848,5,"","",Leucine-rich repeat and calponin homology domain-containing protein 4,LRCH4,1076404019,>sp|O75427|LRCH4_HUMAN Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens GN=LRCH4 PE=1 SV=2
Q9BZD4,0.896067968449523,0.0457240769479122,8,"","",Kinetochore protein Nuf2,NUF2,4837315938,>sp|Q9BZD4|NUF2_HUMAN Kinetochore protein Nuf2 OS=Homo sapiens GN=NUF2 PE=1 SV=2
Q9ULX3,0.893281213601482,0.040697879760922,9,"","",RNA-binding protein NOB1,NOB1,10418511640,>sp|Q9ULX3|NOB1_HUMAN RNA-binding protein NOB1 OS=Homo sapiens GN=NOB1 PE=1 SV=1
Q15021,0.893278589364672,0.0564572350786899,15,"","",Condensin complex subunit 1,NCAPD2,81538124440,>sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3
Q13905-3;Q13905;Q13905-4;Q13905-2,0.893175960625325,0.0505186177223219,5,"","",Rap guanine nucleotide exchange factor 1,RAPGEF1,947767950,>sp|Q13905-3|RPGF1_HUMAN Isoform 3 of Rap guanine nucleotide exchange factor 1 OS=Homo sapiens GN=RAPGEF1;>sp|Q13905|RPGF1_HUMAN Rap guanine nucleotide exchange factor 1 OS=Homo sapiens GN=RAPGEF1 PE=1 SV=3;>sp|Q13905-4|RPGF1_HUMAN Isoform 4 of Rap guanine
P49321,0.892794977832724,0.0486909665034499,13,"","",Nuclear autoantigenic sperm protein,NASP,412333768800,>sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2
Q9Y248,0.891773000606531,0.0635947574351706,8,Used,Positive,DNA replication complex GINS protein PSF2,GINS2,5113458120,>sp|Q9Y248|PSF2_HUMAN DNA replication complex GINS protein PSF2 OS=Homo sapiens GN=GINS2 PE=1 SV=1
