Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
P33316-2,0.980270696187127,0.0219455181891321,11,"","","Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,137804608619,">sp|P33316-2|DUT_HUMAN Isoform 2 of Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT"
Q9Y5Q8-3,0.978908670259362,0.0176256247387406,13,"","",General transcription factor 3C polypeptide 5,GTF3C5,17309174730,>sp|Q9Y5Q8-3|TF3C5_HUMAN Isoform 3 of General transcription factor 3C polypeptide 5 OS=Homo sapiens GN=GTF3C5
P49736,0.977927106287531,0.0269825803077299,15,Used,Positive,DNA replication licensing factor MCM2,MCM2,375477438440,>sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4
Q14566,0.9733436064523,0.0170212928667386,15,Used,Positive,DNA replication licensing factor MCM6,MCM6,389847401600,>sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1
P25205;P25205-2,0.970552265702702,0.0302911544011063,15,Used,Positive,DNA replication licensing factor MCM3,MCM3,431512796300,>sp|P25205|MCM3_HUMAN DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3;>sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3
Q15021,0.968526964572379,0.026172116689019,13,"","",Condensin complex subunit 1,NCAPD2,81538124440,>sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3
Q9Y248,0.965137751581467,0.0283946389698671,9,Used,Positive,DNA replication complex GINS protein PSF2,GINS2,5113458120,>sp|Q9Y248|PSF2_HUMAN DNA replication complex GINS protein PSF2 OS=Homo sapiens GN=GINS2 PE=1 SV=1
Q9NTJ3;Q9NTJ3-2,0.962055673543841,0.0263120293802228,15,"","",Structural maintenance of chromosomes protein 4,SMC4,125726800500,>sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2;>sp|Q9NTJ3-2|SMC4_HUMAN Isoform 2 of Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4
P26358-2,0.961481847896013,0.0458453628404591,15,"","",DNA (cytosine-5)-methyltransferase 1,DNMT1,284245987360,>sp|P26358-2|DNMT1_HUMAN Isoform 2 of DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens GN=DNMT1
Q27J81;Q27J81-2,0.961209043273337,0.0379164150102904,12,"","",Inverted formin-2,INF2,58999095547,>sp|Q27J81|INF2_HUMAN Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2;>sp|Q27J81-2|INF2_HUMAN Isoform 2 of Inverted formin-2 OS=Homo sapiens GN=INF2
P49327,0.960038793142918,0.0337606421103196,15,"","",Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,4575184413780,>sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3
Q8NBT2;Q8NBT2-2,0.957730243138151,0.022636690925145,8,"","",Kinetochore protein Spc24,SPC24,13360131550,>sp|Q8NBT2|SPC24_HUMAN Kinetochore protein Spc24 OS=Homo sapiens GN=SPC24 PE=1 SV=2;>sp|Q8NBT2-2|SPC24_HUMAN Isoform 2 of Kinetochore protein Spc24 OS=Homo sapiens GN=SPC24
P23921,0.957400800875869,0.0456941086932732,14,"","",Ribonucleoside-diphosphate reductase large subunit,RRM1,165218392460,>sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1
Q15003;Q15003-2,0.950949984767509,0.0335112315273674,11,"","",Condensin complex subunit 2,NCAPH,24705805320,>sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3;>sp|Q15003-2|CND2_HUMAN Isoform 2 of Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH
Q99661;Q99661-2,0.943938960126235,0.0530243589664945,12,"","",Kinesin-like protein KIF2C,KIF2C,20168480080,>sp|Q99661|KIF2C_HUMAN Kinesin-like protein KIF2C OS=Homo sapiens GN=KIF2C PE=1 SV=2;>sp|Q99661-2|KIF2C_HUMAN Isoform 2 of Kinesin-like protein KIF2C OS=Homo sapiens GN=KIF2C
Q9BPX3,0.942419025803677,0.0397736979295877,14,"","",Condensin complex subunit 3,NCAPG,34161937527,>sp|Q9BPX3|CND3_HUMAN Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1
Q9Y2K7;Q9Y2K7-3,0.940430959438064,0.0485198426096608,11,"","",Lysine-specific demethylase 2A,KDM2A,23644662260,>sp|Q9Y2K7|KDM2A_HUMAN Lysine-specific demethylase 2A OS=Homo sapiens GN=KDM2A PE=1 SV=3;>sp|Q9Y2K7-3|KDM2A_HUMAN Isoform 3 of Lysine-specific demethylase 2A OS=Homo sapiens GN=KDM2A
Q9BRT9,0.94028126636746,0.059643594053362,9,Used,Positive,"DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed",GINS4,7184486520,>sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens GN=GINS4 PE=1 SV=1
O75717;O75717-2,0.938928886985098,0.0587858644121028,13,Used,Positive,WD repeat and HMG-box DNA-binding protein 1,WDHD1,69997458455,>sp|O75717|WDHD1_HUMAN WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1;>sp|O75717-2|WDHD1_HUMAN Isoform 2 of WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1
P49643,0.936826648295521,0.0313449173012608,10,Used,Positive,DNA primase large subunit,PRIM2,27703508710,>sp|P49643|PRI2_HUMAN DNA primase large subunit OS=Homo sapiens GN=PRIM2 PE=1 SV=2
O75534;O75534-2;O75534-4;O75534-3,0.934830915222376,0.0473407223202113,15,"","",Cold shock domain-containing protein E1,CSDE1,227416584700,>sp|O75534|CSDE1_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2;>sp|O75534-2|CSDE1_HUMAN Isoform 2 of Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1;>sp|O75534-4|CSDE1_HUMAN Isoform 4 of Cold shock domain
P09884,0.934015733956443,0.0495732288202376,7,Used,Positive,DNA polymerase alpha catalytic subunit,POLA1,30471946020,>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2
Q14691,0.928329772244232,0.0374924339365832,8,Used,Positive,DNA replication complex GINS protein PSF1,GINS1,2148294190,>sp|Q14691|PSF1_HUMAN DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1
Q2NKX8,0.925635669017948,0.053765212838338,9,"","",DNA excision repair protein ERCC-6-like,ERCC6L,3722335240,>sp|Q2NKX8|ERC6L_HUMAN DNA excision repair protein ERCC-6-like OS=Homo sapiens GN=ERCC6L PE=1 SV=1
Q96KB5;Q96KB5-2,0.925410875847745,0.0504510890290133,11,"","",Lymphokine-activated killer T-cell-originated protein kinase,PBK,23701960330,>sp|Q96KB5|TOPK_HUMAN Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens GN=PBK PE=1 SV=3;>sp|Q96KB5-2|TOPK_HUMAN Isoform 2 of Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens GN=PBK
Q8WVB6;Q8WVB6-2;Q8WVB6-3,0.924997355723255,0.0375912252600935,8,Used,Positive,Chromosome transmission fidelity protein 18 homolog,CHTF18,12490608249,>sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18 PE=1 SV=1;>sp|Q8WVB6-2|CTF18_HUMAN Isoform 2 of Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18;>sp|Q8WVB6-3|CTF18_HUMAN Isof
P33993;P33993-3,0.924928168349816,0.0459045416910238,15,Used,Positive,DNA replication licensing factor MCM7,MCM7,440089396000,>sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4;>sp|P33993-3|MCM7_HUMAN Isoform 3 of DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7
