Protein_IDs,Progulon_ID,Mean_RF_score,Score_StDev,Training_label,Used_for_positive_training,Feature_count,Protein_names,Gene_names,Summed_intensities,prot_in_prn,Manual_annotation,Highlight_genes
O00203,P28,0.779402974687492,0.04042838434252,Positive,Used,241,AP-3 complex subunit beta-1,AP3B1,90930228020,yes,Adaptor protein complex 3,
O14617-5;O14617;O14617-4;O14617-2;O14617-3,P28,0.777625078146265,0.053392999246765,Positive,Used,253,AP-3 complex subunit delta-1,AP3D1,80509788661,yes,Adaptor protein complex 3,
Q9Y2T2,P28,0.723199218958079,0.057280401673241,Positive,Used,223,AP-3 complex subunit mu-1,AP3M1,30389498740,yes,Adaptor protein complex 3,
Q96A65,P28,0.659327796509875,0.063121364358287,Positive,Used,233,Exocyst complex component 4,EXOC4,21875955935,yes,Exocyst complex,
O00471,P28,0.628077939881596,0.058826415895568,,,199,Exocyst complex component 5,EXOC5,18453390961,yes,Exocyst complex,
O60763,P28,0.623855802830624,0.082471351618017,,,275,General vesicular transport factor p115,USO1,154823317850,yes,Other vesicle trafficking,
Q96KP1,P28,0.619637831059895,0.066516552483708,Positive,Used,202,Exocyst complex component 2,EXOC2,24403325667,yes,Exocyst complex,
Q9Y371;Q9Y371-2,P28,0.614492241686915,0.090093409676031,,,235,Endophilin-B1,SH3GLB1,52131149530,yes,Other vesicle trafficking,
Q14155-1;Q14155-5;Q14155-6,P28,0.609709071868735,0.07532155581726,,,219,Rho guanine nucleotide exchange factor 7,ARHGEF7,17153126140,yes,Regulation of actin cytoskeleton,
O43264;O43264-2,P28,0.607510612297614,0.079975676096715,,,229,Centromere/kinetochore protein zw10 homolog,ZW10,27096846250,yes,NRZ vesicle tethering complex,
Q14203-3;Q14203-4;Q14203-5,P28,0.598451968572056,0.078282897325671,,,283,Dynactin subunit 1,DCTN1,173928662603,yes,Microtubule-based vesicle motility,
Q8WTW3,P28,0.592380547050205,0.090399890892911,,,212,Conserved oligomeric Golgi complex subunit 1,COG1,9060150129,yes,"COG complex, lobe A",
Q9Y6D5,P28,0.591068446020877,0.078963936145512,,,217,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,16977306126,yes,Other vesicle trafficking,
O60645-3;O60645-2;O60645,P28,0.584926583042319,0.057427583377949,,,174,Exocyst complex component 3,EXOC3,12507121190,yes,Exocyst complex,
P42566;P42566-2,P28,0.584375136183826,0.081805014625732,,,227,Epidermal growth factor receptor substrate 15,EPS15,15762564028,yes,Other vesicle trafficking,
Q13131;Q13131-2,P28,0.583236061529298,0.068033784876159,,,244,5-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1,22273722060,yes,Regulation of actin cytoskeleton,
Q9NRY5,P28,0.582816169322988,0.077530322061955,,,170,Protein FAM114A2,FAM114A2,13563733700,yes,Uncharacterised,
Q6P3W7,P28,0.581077112719541,0.072878543022913,,,207,SCY1-like protein 2,SCYL2,12173120520,yes,Other vesicle trafficking,
Q9Y6D6,P28,0.58059508024385,0.094246890300154,,,191,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,ARFGEF1,9193179700,yes,Other vesicle trafficking,
O60524-3;O60524;O60524-4;O60524-5,P28,0.577166386602559,0.089530038730259,,,165,Nuclear export mediator factor NEMF,NEMF,11109342032,yes,,
A2RRP1;A2RRP1-2,P28,0.576961199485857,0.072794581987578,,,203,Neuroblastoma-amplified sequence,NBAS,12930342689,yes,NRZ vesicle tethering complex,
Q92696,P28,0.571784016252498,0.072278029071278,,,198,Geranylgeranyl transferase type-2 subunit alpha,RABGGTA,25467493022,yes,,
P56181-2,P28,0.570050312933366,0.09663335373899,,,182,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,23141037730,yes,,
Q9NP61;Q9NP61-2,P28,0.569797790536087,0.088544648036746,,,177,ADP-ribosylation factor GTPase-activating protein 3,ARFGAP3,9439561010,yes,Other vesicle trafficking,
Q8IYI6,P28,0.569172304277818,0.060414978855217,,,182,Exocyst complex component 8,EXOC8,8666038438,yes,Exocyst complex,
Q92783-2;Q92783,P28,0.567990897761659,0.077567223767434,,,235,Signal transducing adapter molecule 1,STAM,45696585551,yes,Other vesicle trafficking,
O94979;O94979-4,P28,0.567158368736698,0.088256516165852,,,286,Protein transport protein Sec31A,SEC31A,330603060590,yes,COPII coat,
O14974;O14974-3;O14974-5;O14974-2,P28,0.566281531644956,0.086462562341794,,,260,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,47246253140,yes,,
Q8NEB9,P28,0.566222905709433,0.071232159963243,,,161,Phosphatidylinositol 3-kinase catalytic subunit type 3,PIK3C3,8456589960,yes,Other vesicle trafficking,
Q86X10-3;Q86X10;Q86X10-2;Q86X10-4,P28,0.565728466727997,0.06982699279012,,,146,Ral GTPase-activating protein subunit beta,RALGAPB,3861007000,yes,,
O95487-2;O95487;O95487-3,P28,0.565090563386409,0.077425959853716,,,223,Protein transport protein Sec24B,SEC24B,35958953350.8,yes,COPII coat,
Q14746-2;Q14746,P28,0.563658968080431,0.083190644125013,,,169,Conserved oligomeric Golgi complex subunit 2,COG2,6870025068,yes,"COG complex, lobe A",
P42345,P28,0.561232844094773,0.079261682617632,,,231,Serine/threonine-protein kinase mTOR,MTOR,18309411480,yes,,
Q9UI10,P28,0.560546413426184,0.085145998658316,,,213,Translation initiation factor eIF-2B subunit delta,EIF2B4,23761678021,yes,,
P33176,P28,0.559797557706262,0.07774269121769,,,293,Kinesin-1 heavy chain,KIF5B,369103452956,yes,Microtubule-based vesicle motility,
O95782-2;O95782,P28,0.55822307415148,0.077436402002282,,,291,AP-2 complex subunit alpha-1,AP2A1,185942325100,yes,Other vesicle trafficking,
O15144,P28,0.557345185128271,0.071693417868807,,,255,Actin-related protein 2/3 complex subunit 2,ARPC2,495069771632,yes,Regulation of actin cytoskeleton,
Q10567-3;Q10567-4,P28,0.556721234315541,0.080047152171434,,,151,AP-1 complex subunit beta-1,AP1B1,7368737520,yes,Other vesicle trafficking,
Q9Y6Y8;Q9Y6Y8-2,P28,0.556630550993608,0.08219330525604,,,253,SEC23-interacting protein,SEC23IP,55133466500,yes,COPII coat,
P48444;P48444-2,P28,0.556605627451299,0.088967651503661,,,289,Coatomer subunit delta,ARCN1,308296164660,yes,Coatomer,
Q13043;Q13043-2,P28,0.556467750636562,0.093987725557574,,,204,Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit,STK4,18475215710,yes,,
Q9UPT5-6;Q9UPT5-5;Q9UPT5;Q9UPT5-2;Q9UPT5-1,P28,0.555785342271558,0.068876517558886,,,220,Exocyst complex component 7,EXOC7,19141522554,yes,Exocyst complex,
Q9NP72;Q9NP72-2,P28,0.555662345734015,0.098608668761838,,,237,Ras-related protein Rab-18,RAB18,71451323570,yes,Other vesicle trafficking,
O14976;O14976-2,P28,0.555345575176846,0.07765811137632,,,225,Cyclin-G-associated kinase,GAK,17078096690,yes,Other vesicle trafficking,
P53618,P28,0.555271644841515,0.085535280214698,,,292,Coatomer subunit beta,COPB1,596064266970,yes,Coatomer,
O75165,P28,0.552612912964453,0.083353184805301,,,234,DnaJ homolog subfamily C member 13,DNAJC13,69772003215,yes,Other vesicle trafficking,
Q9Y2X7;Q9Y2X7-3,P28,0.552498037734385,0.073929485646566,,,214,ARF GTPase-activating protein GIT1,GIT1,14054233160,yes,Regulation of actin cytoskeleton,
Q5W0V3;Q5W0V3-2,P28,0.551206259513364,0.079599918337674,,,159,Protein FAM160B1,FAM160B1,5391486580,yes,Uncharacterised,
O43286,P28,0.551045481941818,0.08354204508444,,,151,"Beta-1,4-galactosyltransferase 5",B4GALT5,2804745915,yes,,
Q7L576,P28,0.550106128069964,0.071986835455565,,,274,Cytoplasmic FMR1-interacting protein 1,CYFIP1,216478535120,yes,Regulation of actin cytoskeleton,
O95202,P28,0.549795548364925,0.088496364849909,,,240,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,108892924990,yes,,
P23458,P28,0.549248973188763,0.085630708212353,,,119,Tyrosine-protein kinase JAK1,JAK1,16342152915,yes,,
Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0;Q8IZP0-12;Q8IZP0-11,P28,0.549003092866162,0.081224993867678,,,198,Abl interactor 1,ABI1,26839208820,yes,,
Q96JB2;Q96JB2-2,P28,0.548517829384918,0.092292660812863,,,184,Conserved oligomeric Golgi complex subunit 3,COG3,5912151873,yes,"COG complex, lobe A",
Q9BXS5;Q9BXS5-2,P28,0.548310269446148,0.102959865017433,,,254,AP-1 complex subunit mu-1,AP1M1,70604303950,yes,Other vesicle trafficking,
O75746;O75746-2,P28,0.547661184145484,0.082442277513259,,,180,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,17481739590,yes,,
Q13464,P28,0.54627415334178,0.082361661436986,,,205,Rho-associated protein kinase 1,ROCK1,11668014487,yes,Regulation of actin cytoskeleton,
Q16204,P28,0.546061936077206,0.079119130295074,,,253,Coiled-coil domain-containing protein 6,CCDC6,27678168240,yes,,
Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3,P28,0.545140155480534,0.053572751051516,,,126,Protein phosphatase 1 regulatory subunit 21,PPP1R21,2211996340,yes,,
Q15437,P28,0.544357583175747,0.084210098497224,,,266,Protein transport protein Sec23B,SEC23B,52591595305,yes,COPII coat,
Q9NX63,P28,0.543676943074857,0.098728165653622,,,232,MICOS complex subunit MIC19,CHCHD3,61486094190,yes,,
Q14677-3;Q14677-2,P28,0.543400569092803,0.096214436540209,,,259,Clathrin interactor 1,CLINT1,62546132120,yes,Other vesicle trafficking,
P46736-2;P46736-3;P46736;P46736-5;P46736-4,P28,0.542166263660053,0.086896057055453,,,222,Lys-63-specific deubiquitinase BRCC36,BRCC3,14241165444,yes,,
Q92504,P28,0.541644859993134,0.072781432707589,,,145,Zinc transporter SLC39A7,SLC39A7,5054534750,yes,,
Q9NUQ7,P28,0.540174590865237,0.076352101233068,,,169,Ufm1-specific protease 2,UFSP2,9443064427,yes,,
Q6NUQ1,P28,0.539512113271584,0.061096195391021,,,154,RAD50-interacting protein 1,RINT1,3634362530,yes,NRZ vesicle tethering complex,
O60610;O60610-2;O60610-3,P28,0.539145487263999,0.082710482082214,,,275,Protein diaphanous homolog 1,DIAPH1,190824798380,yes,Regulation of actin cytoskeleton,
Q641Q2;Q641Q2-2,P28,0.538535844816289,0.078982045244784,,,205,WASH complex subunit FAM21A,FAM21A,14018637474,yes,Regulation of actin cytoskeleton,
O95140,P28,0.538231384051675,0.084573706605151,,,143,Mitofusin-2,MFN2,6835110840,yes,,
